Date,Open,High,Low,Close,Adj Close,Volume
5/28/2024,1.2773,1.28,1.2763,1.2772,1.2772,
5/27/2024,1.2734,1.2779,1.2734,1.2736,1.2736,
5/24/2024,1.2694,1.2751,1.2683,1.2694,1.2694,
5/23/2024,1.2721,1.2747,1.2706,1.2721,1.2721,
5/22/2024,1.271,1.2761,1.2701,1.2711,1.2711,
5/21/2024,1.2711,1.2727,1.2693,1.2711,1.2711,
5/20/2024,1.2708,1.2713,1.2691,1.2706,1.2706,
5/17/2024,1.2673,1.2709,1.2645,1.2672,1.2672,
5/16/2024,1.2689,1.2701,1.2645,1.269,1.269,
5/15/2024,1.2585,1.2671,1.2585,1.2585,1.2585,
5/14/2024,1.256,1.2593,1.2512,1.2562,1.2562,
5/13/2024,1.2523,1.2569,1.2519,1.2523,1.2523,
5/10/2024,1.2525,1.2542,1.2504,1.2526,1.2526,
5/9/2024,1.2494,1.2521,1.2449,1.2493,1.2493,
5/8/2024,1.2503,1.2506,1.2467,1.2501,1.2501,
5/7/2024,1.256,1.257,1.2532,1.256,1.256,
5/6/2024,1.2541,1.2594,1.2539,1.2541,1.2541,
5/3/2024,1.254,1.2629,1.253,1.2541,1.2541,
5/2/2024,1.2537,1.2547,1.2473,1.2539,1.2539,
5/1/2024,1.2489,1.2498,1.2468,1.249,1.249,
4/30/2024,1.256,1.2563,1.2506,1.256,1.256,
4/29/2024,1.2511,1.2555,1.2508,1.251,1.251,
4/26/2024,1.2508,1.2542,1.2451,1.2509,1.2509,
4/25/2024,1.246,1.2523,1.2456,1.246,1.246,
4/24/2024,1.2455,1.2467,1.2424,1.2453,1.2453,
4/23/2024,1.235,1.2458,1.2333,1.235,1.235,
4/22/2024,1.2376,1.2393,1.2301,1.2376,1.2376,
4/19/2024,1.2436,1.2469,1.2392,1.2438,1.2438,
4/18/2024,1.2454,1.2485,1.2438,1.2454,1.2454,
4/17/2024,1.2431,1.2482,1.2418,1.2431,1.2431,
4/16/2024,1.2447,1.2473,1.2411,1.2447,1.2447,
4/15/2024,1.246,1.2498,1.2444,1.2462,1.2462,
4/12/2024,1.2556,1.2559,1.2429,1.2555,1.2555,
4/11/2024,1.2537,1.2578,1.2512,1.2538,1.2538,
4/10/2024,1.2678,1.2705,1.2535,1.2678,1.2678,
4/9/2024,1.266,1.2709,1.265,1.2659,1.2659,
4/8/2024,1.2626,1.2656,1.2614,1.2625,1.2625,
4/5/2024,1.264,1.265,1.2576,1.264,1.264,
4/4/2024,1.2654,1.2682,1.2645,1.2652,1.2652,
4/3/2024,1.2577,1.2636,1.2564,1.2577,1.2577,
4/2/2024,1.2548,1.2579,1.2541,1.2545,1.2545,
4/1/2024,1.2638,1.2644,1.2541,1.2637,1.2637,
3/29/2024,1.2624,1.2648,1.261,1.2626,1.2626,
3/28/2024,1.2617,1.265,1.2587,1.2617,1.2617,
3/27/2024,1.2628,1.2639,1.2606,1.2628,1.2628,
3/26/2024,1.2637,1.2668,1.2626,1.2638,1.2638,
3/25/2024,1.2598,1.2652,1.2593,1.2598,1.2598,
3/22/2024,1.2661,1.2676,1.2577,1.2662,1.2662,
3/21/2024,1.2798,1.2804,1.266,1.2798,1.2798,
3/20/2024,1.2718,1.273,1.2685,1.2719,1.2719,
3/19/2024,1.2727,1.2729,1.267,1.2727,1.2727,
3/18/2024,1.2732,1.2749,1.2723,1.2731,1.2731,
3/15/2024,1.2746,1.2759,1.2731,1.2746,1.2746,
3/14/2024,1.2802,1.2823,1.2731,1.2802,1.2802,
3/13/2024,1.2797,1.2809,1.2776,1.2796,1.2796,
3/12/2024,1.2819,1.2825,1.2748,1.282,1.282,
3/11/2024,1.2856,1.2862,1.2796,1.2855,1.2855,
3/8/2024,1.2814,1.2891,1.2802,1.2816,1.2816,
3/7/2024,1.2736,1.2799,1.2724,1.2735,1.2735,
3/6/2024,1.2705,1.2761,1.269,1.2705,1.2705,
3/5/2024,1.269,1.2734,1.2673,1.2692,1.2692,
3/4/2024,1.2661,1.2707,1.2657,1.266,1.266,
3/1/2024,1.2627,1.2656,1.2601,1.2625,1.2625,
2/29/2024,1.2662,1.2682,1.2629,1.2663,1.2663,
2/28/2024,1.2681,1.2684,1.2625,1.2682,1.2682,
2/27/2024,1.2685,1.2697,1.2662,1.2685,1.2685,
2/26/2024,1.2671,1.27,1.2657,1.2673,1.2673,
2/23/2024,1.2661,1.2702,1.265,1.2664,1.2664,
2/22/2024,1.2639,1.271,1.2613,1.2638,1.2638,
2/21/2024,1.2626,1.2638,1.2604,1.2627,1.2627,
2/20/2024,1.2588,1.2667,1.258,1.2588,1.2588,
2/19/2024,1.2611,1.263,1.2583,1.2611,1.2611,
2/16/2024,1.2599,1.2602,1.2554,1.2599,1.2599,
2/15/2024,1.2568,1.2597,1.2543,1.2568,1.2568,
2/14/2024,1.2591,1.2611,1.2537,1.2591,1.2591,
2/13/2024,1.2628,1.2683,1.2578,1.2628,1.2628,
2/12/2024,1.2639,1.2654,1.2607,1.2637,1.2637,
2/9/2024,1.2621,1.2642,1.2601,1.2621,1.2621,
2/8/2024,1.2628,1.2639,1.2575,1.2627,1.2627,
2/7/2024,1.2604,1.2642,1.2598,1.2607,1.2607,
2/6/2024,1.2534,1.2595,1.2534,1.2534,1.2534,
2/5/2024,1.2617,1.263,1.252,1.2622,1.2622,
2/2/2024,1.2747,1.2773,1.2624,1.2747,1.2747,
2/1/2024,1.2681,1.2725,1.2626,1.2678,1.2678,
1/31/2024,1.2695,1.2749,1.2668,1.2696,1.2696,
1/30/2024,1.2714,1.2721,1.2643,1.2713,1.2713,
1/29/2024,1.2697,1.2719,1.2663,1.2698,1.2698,
1/26/2024,1.2707,1.2758,1.2677,1.2708,1.2708,
1/25/2024,1.2718,1.2742,1.2693,1.2719,1.2719,
1/24/2024,1.2694,1.2774,1.2687,1.2692,1.2692,
1/23/2024,1.2708,1.2747,1.2655,1.2707,1.2707,
1/22/2024,1.2701,1.2731,1.2688,1.27,1.27,
1/19/2024,1.2712,1.2716,1.2663,1.271,1.271,
1/18/2024,1.2678,1.2705,1.2651,1.2677,1.2677,
1/17/2024,1.2639,1.2696,1.2597,1.2639,1.2639,
1/16/2024,1.2717,1.2717,1.2621,1.2716,1.2716,
1/15/2024,1.2736,1.274,1.2714,1.2737,1.2737,
1/12/2024,1.278,1.2785,1.2721,1.2778,1.2778,
1/11/2024,1.2745,1.2775,1.2691,1.2745,1.2745,
1/10/2024,1.2715,1.2742,1.2687,1.2713,1.2713,
1/9/2024,1.2742,1.2765,1.2692,1.2745,1.2745,
1/8/2024,1.2717,1.2765,1.2675,1.2718,1.2718,
1/5/2024,1.2682,1.277,1.2613,1.2684,1.2684,
1/4/2024,1.2675,1.2728,1.2658,1.2674,1.2674,
1/3/2024,1.2624,1.2652,1.2618,1.2623,1.2623,
1/2/2024,1.2728,1.2761,1.2612,1.2729,1.2729,
1/1/2024,1.273,1.2733,1.2694,1.273,1.273,
12/29/2023,1.2735,1.2773,1.2703,1.2734,1.2734,
12/28/2023,1.2802,1.2827,1.274,1.2801,1.2801,
12/27/2023,1.2728,1.2801,1.2701,1.2727,1.2727,
12/26/2023,1.2705,1.2719,1.2686,1.2705,1.2705,
12/25/2023,1.2677,1.2747,1.2677,1.2677,1.2677,
12/22/2023,1.2686,1.2745,1.2681,1.2685,1.2685,
12/21/2023,1.2641,1.2692,1.2615,1.2641,1.2641,
12/20/2023,1.2731,1.2731,1.2633,1.2733,1.2733,
12/19/2023,1.2653,1.2761,1.265,1.2652,1.2652,
12/18/2023,1.2673,1.2704,1.2631,1.2672,1.2672,
